Jugador,Puesto,Equipo,Cotización (mill.),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,Acumulado,Promedio
"Luna, Carlos",DEL,TIG,6400000,5,13,11,5,11,3,0,9,4,3,5,5,21,8,26,5,4,16,154,9.06
"Pérez Guedes, Martín",VOL,OLI,1900000,0,0,0,4,5,6,5,12,12,5,6,5,4,5,6,23,12,4,114,7.6
"Bernardi, Lucas",VOL,NOB,4000000,0,5,5,4,9,12,6,12,7,6,11,6,11,7,5,5,5,6,122,7.18
"Hernández, Pablo",VOL,ARG,3000000,6,4,5,6,6,15,7,8,12,6,5,6,12,5,6,6,5,7,127,7.06
"Castro, Nicolás",VOL,ATR,4900000,0,12,5,5,5,4,4,4,13,4,5,4,5,17,5,13,5,18,128,7.53
"Pérez, Pablo",VOL,NOB,3000000,6,10,0,4,12,4,6,11,3,4,0,0,11,12,3,11,15,12,124,8.27
"Zapata, Martín",VOL,ALB,2500000,6,10,5,6,6,4,5,5,17,17,9,5,5,6,6,5,8,5,130,7.22
"Burdisso, Guillermo",DEF,ARS,4600000,8,2,6,5,9,8,17,8,5,7,0,0,17,7,6,5,6,8,124,7.75
"Gigliotti, Emmanuel",DEL,SLO,4200000,0,0,0,0,6,0,0,4,9,20,6,9,4,9,4,20,5,5,101,8.42
"Velázquez, Jorge",VOL,UNI,3400000,5,6,6,3,6,5,12,12,6,5,3,17,5,4,5,5,8,6,119,6.61
"Vergini, Santiago",DEF,NOB,3100000,2,8,4,0,8,8,8,8,5,22,4,0,7,15,2,2,5,3,111,6.94
"Castro, Lucas",VOL,RAC,4000000,4,6,0,5,32,17,4,5,5,2,6,0,5,0,3,5,4,9,112,7.47
"Garcé, Ariel",DEF,COL,3600000,8,4,5,5,5,12,7,3,8,4,8,5,8,6,13,5,4,8,118,6.56
"Urruti, Maximiliano",DEL,NOB,2300000,10,12,5,4,10,5,6,10,15,5,6,3,5,10,5,5,5,5,126,7
"Leguizamón, Luciano",DEL,ARS,4700000,4,11,10,7,6,9,11,8,9,3,0,6,6,0,0,5,9,22,126,8.4
"Morales, Diego",VOL,TIG,6000000,6,7,6,9,5,13,6,7,5,12,4,6,7,5,6,7,5,6,122,6.78
"Farías, Ernesto",DEL,IND,7200000,4,5,5,3,24,15,2,0,0,0,5,10,5,4,9,4,10,5,110,7.33
"Alcoba, Gerardo",DEF,COL,3100000,0,0,0,0,0,0,8,3,7,15,8,3,22,5,7,2,4,8,92,7.08
"Erramuspe, Rodrigo",DEF,UNI,3000000,7,7,5,5,5,25,5,5,3,5,15,7,3,4,7,5,0,0,113,7.06
"Aguirre, Nicolás",VOL,ARS,3400000,5,4,5,3,0,0,5,6,10,5,6,5,6,18,12,5,4,7,106,6.63
"Insaurralde, Juan M.",DEF,BOC,5100000,7,7,8,3,0,8,5,8,13,16,3,2,0,0,6,19,5,4,114,7.6
"Romagnoli, Leandro",VOL,SLO,5200000,6,5,0,4,9,6,4,5,0,8,0,5,11,5,5,7,13,11,104,6.93
"Sarulyte, Matías",DEF,EST,2000000,5,7,8,0,15,0,7,4,5,3,4,3,5,7,18,5,5,7,108,6.75
"Correa, Nicolás",DEF,UNI,3100000,7,9,2,15,7,6,8,3,0,8,3,7,3,5,8,14,7,8,120,7.06
"Cambiasso, Nicolás",ARQ,ALB,4800000,14,9,8,9,3,4,9,2,9,5,4,5,9,10,14,4,5,4,127,7.06
"Barovero, Marcelo",ARQ,VEL,5500000,5,9,4,9,9,3,5,9,5,5,9,9,3,9,0,10,4,7,114,6.71
"Echeverría, Mariano",DEF,TIG,5600000,6,0,2,0,9,5,6,3,6,16,2,0,0,6,6,15,4,9,95,6.79
"Figueroa, Víctor",VOL,NOB,3800000,6,4,4,2,5,5,9,0,0,0,11,5,11,13,12,4,6,5,102,6.8
"Domínguez, Eduardo",DEF,ALB,4500000,5,7,8,7,3,4,4,4,8,7,5,6,9,13,6,0,16,1,113,6.65
"Mouche, Pablo",DEL,BOC,5500000,16,4,5,10,5,6,9,10,6,5,4,0,9,5,7,12,4,4,121,7.12
