"Romero, Silvio",DEL,LAN,4800000,11,13,11,10,7,5,11,6,15,5,6,24,6,130,10
"Vietto, Luciano",DEL,RAC,8000000,4,15,6,5,11,6,5,7,14,6,32,6,5,122,9.38
"Scocco, Ignacio",DEL,NEW,10000000,24,0,4,11,11,11,7,5,15,0,9,5,19,121,11
"Marchesín, Agustín",ARQ,LAN,5600000,9,10,12,9,6,10,4,15,4,9,5,6,14,113,8.69
"Luna, Jorge",VOL,SMJ,4500000,5,16,11,6,5,3,6,5,16,6,11,6,14,110,8.46
"Zapata, Duván",DEL,EST,5500000,5,3,16,12,14,9,3,6,6,6,6,5,16,107,8.23
"López, Jonathan",DEL,ATR,2900000,16,0,0,4,6,5,11,24,6,6,17,6,4,105,9.55
"Gigliotti, Emmanuel",DEL,COL,5500000,4,9,13,10,12,5,10,22,0,6,5,5,4,105,8.75
"Martínez, Matías",DEF,ARG,3800000,3,0,5,7,12,22,8,7,8,4,5,15,6,102,8.5
"Landa, Lucas",DEF,SMJ,3900000,8,4,5,5,4,0,4,7,16,17,15,15,0,100,9.09
"López, Lisandro",DEF,ARS,7000000,0,8,11,23,0,20,5,8,5,5,6,8,0,99,9.9
"Zuculini, Bruno",VOL,RAC,3000000,2,0,0,3,20,6,5,4,29,6,5,6,12,98,8.91
"Montoya Muñoz, Santiago",VOL,ALB,1200000,5,5,12,14,6,5,6,4,7,11,12,6,4,97,7.46
"Tula, Cristian",DEF,IND,4200000,15,25,9,3,0,8,6,4,6,3,6,9,3,97,8.08
"Obolo, Mauro",DEL,GOD,7000000,4,5,11,-1,5,4,24,4,4,3,11,11,11,96,7.38
"Izquierdoz, Carlos",DEF,LAN,3300000,8,8,8,5,5,25,0,8,0,0,14,6,7,94,9.4
"Castillón, Facundo",DEL,GOD,3100000,10,5,6,6,6,5,6,4,11,11,5,12,6,93,7.15
"Saja, Sebastián",ARQ,RAC,6500000,3,9,3,9,10,11,10,3,6,5,0,9,15,93,7.15
"Vildozo, Angel",DEL,ALB,2900000,4,5,10,4,2,15,5,11,10,9,5,5,4,89,6.85
"Lollo, Luciano",DEF,BEL,2500000,5,4,6,0,0,6,20,8,8,7,7,6,11,88,7.33
"Gentiletti, Santiago",DEF,SLO,4000000,8,7,17,8,3,6,5,5,4,7,5,5,8,88,6.77
"Regueiro, Mario",DEL,LAN,8000000,17,17,5,2,0,6,7,6,10,6,5,4,2,87,7.25
"Ortiz, Fernando",DEF,RAC,5500000,4,8,6,7,9,5,7,6,6,6,5,7,9,85,6.54
"Elizari, Fernando",VOL,QUI,1200000,0,6,12,5,4,5,13,6,4,4,5,12,8,84,7
"Barovero, Marcelo",ARQ,RIV,6000000,4,9,5,4,6,4,9,7,4,11,6,5,10,84,6.46
"Buffarini, Julio",VOL,SLO,5400000,5,5,3,5,0,4,3,4,5,14,4,15,15,82,6.83
"Borghello, Iván",DEL,ALB,4200000,5,2,6,4,17,10,6,5,5,5,11,0,5,81,6.75
"Fontanini, Fabricio",DEF,ATR,4700000,7,13,5,2,4,4,7,7,8,8,6,4,6,81,6.23
"De Paul, Rodrigo",VOL,RAC,400000,0,0,3,5,13,6,6,6,15,6,4,11,5,80,7.27
"Goltz, Paolo D.",DEF,LAN,5000000,9,8,6,0,6,9,3,8,5,8,6,4,8,80,6.67
"Mercier, Juan",VOL,SLO,5100000,11,6,5,7,6,4,6,6,6,7,12,4,0,80,6.67
"Goñi, Ernesto",DEF,QUI,2700000,5,6,7,6,6,7,4,7,5,7,5,6,8,79,6.08
"Curuchet, Facundo",DEL,COL,2900000,5,6,4,10,6,5,10,5,10,4,5,5,4,79,6.08
"Quiroga, Juan",DEF,BEL,3200000,5,7,3,5,8,6,6,4,9,7,6,5,8,79,6.08
"Olave, Juan C.",ARQ,BEL,5600000,3,8,3,3,10,5,4,7,7,10,5,5,9,79,6.08
"Castro, Alexis N.",VOL,GOD,5700000,5,12,5,6,15,6,5,5,4,0,4,6,6,79,6.58
"Benedetto, Darío",DEL,ARS,2700000,0,0,5,6,6,0,0,5,13,6,4,20,13,78,8.67
"Mansilla, Jacobo",VOL,QUI,3700000,6,12,19,7,13,5,0,0,4,5,3,4,0,78,7.09
"Velázquez, Maxi",DEF,LAN,4000000,7,9,7,7,3,8,5,7,5,7,5,3,5,78,6
"Campestrini, Cristian",ARQ,ARS,6000000,4,9,5,9,8,1,5,9,11,-1,5,10,3,78,6
"Rodríguez, Diego",ARQ,IND,3000000,2,10,9,6,5,14,5,0,4,0,4,10,8,77,6.42
"Lanzini, Manuel",VOL,RIV,4100000,4,5,4,0,0,0,0,20,4,8,6,13,13,77,8.56
"Pérez García, Matías",VOL,TIG,4200000,6,5,10,20,0,9,6,3,0,6,0,6,6,77,7.7
"Cobo, Juan M.",VOL,QUI,2600000,5,17,6,5,1,0,6,9,5,6,5,5,6,76,6.33
"Osorio, Humberto",DEL,SMJ,5200000,4,4,6,5,4,11,2,4,26,0,0,5,5,76,6.91
"Cauteruccio, Martín",DEL,QUI,5700000,1,4,0,15,0,0,0,5,6,15,12,5,13,76,8.44
"Castellani, Gonzalo",VOL,GOD,3500000,6,5,5,5,8,2,5,0,6,6,7,13,7,75,6.25
"Sara, Guillermo",ARQ,ATR,4700000,9,9,0,2,5,4,10,3,13,8,3,0,9,75,6.82
"Pizarro, Guido",VOL,LAN,5000000,8,6,0,5,10,6,13,5,7,6,3,6,0,75,6.25
"Rodríguez, Maxi",VOL,NEW,8500000,6,5,0,11,0,6,15,0,0,5,13,6,7,74,8.22
"Botta, Rubén",VOL,TIG,4100000,20,6,3,0,15,6,6,4,8,5,0,0,0,73,8.11
"Olivera, Wilfredo",DEF,QUI,2500000,16,6,5,5,17,8,7,8,0,0,0,0,0,72,9
"Aveldaño, Lucas",DEF,BEL,3500000,4,7,4,2,7,5,4,0,7,7,2,17,6,72,6
"Alvarado, Pablo",DEF,SLO,3800000,7,4,5,7,5,7,4,5,5,6,6,3,8,72,5.54
"González, Federico",DEL,ATR,4000000,7,5,6,4,5,4,0,0,0,14,5,17,5,72,7.2
"Carbonero, Carlos",VOL,ARS,4300000,3,0,15,6,0,6,5,11,7,4,3,7,5,72,6.55
"Cambiasso, Nicolás",ARQ,ALB,5000000,4,3,8,3,2,6,5,9,4,4,9,9,6,72,5.54
"Ayala, Víctor",VOL,LAN,3800000,13,7,5,3,5,6,5,5,4,5,5,3,5,71,5.46
"Sánchez, Nicolás",DEF,GOD,4600000,5,4,4,7,8,6,0,0,7,3,5,17,5,71,5.92
"Sigali, Leonardo",DEF,GOD,4600000,5,6,5,8,8,3,0,8,5,4,5,9,5,71,5.92
"Camoranesi, Mauro",VOL,RAC,5800000,4,6,4,4,6,13,4,5,7,13,5,0,0,71,6.45
"Rescaldani, Ezequiel",DEL,VEL,2400000,0,5,4,10,0,4,0,9,11,10,0,6,11,70,7.78
"Lizio, Damián",VOL,UNI,3000000,0,5,6,18,6,5,3,5,7,2,6,3,4,70,5.83
