Jugador,Puesto,Equipo,Cotización (mill.),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Acumulado,Promedio
"Vietto, Luciano",VOL,RAC,800000,6,0,0,0,32,5,6,4,18,17,6,6,11,6,17,134,11.17
"Domínguez, Sebastián",DEF,VEL,5000000,33,9,3,8,6,7,6,5,6,7,8,14,6,5,5,128,8.53
"Scocco, Ignacio",DEL,NOB,5000000,0,0,10,4,10,15,13,11,5,6,6,20,11,5,4,120,9.23
"Ortiz, Fernando",DEF,RAC,4900000,14,20,9,0,6,5,5,13,6,7,7,5,6,8,8,119,8.5
"Guzmán, Nahuel",ARQ,NOB,2000000,8,9,8,9,8,2,9,5,8,10,9,5,2,9,15,116,7.73
"López, Lisandro",DEF,ARS,6800000,9,8,16,14,8,-1,0,2,4,5,22,2,4,8,15,116,8.29
"Cauteruccio, Martín",DEL,QUI,4800000,16,11,8,4,5,6,5,5,10,10,15,6,5,3,6,115,7.67
"Pratto, Lucas",DEL,VEL,5000000,11,4,6,6,6,4,12,6,8,5,6,9,14,7,6,110,7.33
"Mas, Emmanuel",DEF,SMA,3300000,6,5,4,6,4,18,5,8,6,7,6,13,5,9,6,108,7.2
"Tobio, Fernando",DEF,VEL,3700000,8,8,6,8,6,7,8,6,4,5,6,8,15,4,9,108,7.2
"Farré, Guillermo",VOL,BEL,3800000,6,5,3,4,3,7,6,11,12,17,6,6,6,5,11,108,7.2
"Olave, Juan C.",ARQ,BEL,4800000,1,0,4,14,4,10,13,10,10,5,2,9,5,9,10,106,7.57
"Sara, Guillermo",ARQ,ATR,4500000,20,10,5,5,3,4,12,18,3,3,1,5,2,-1,15,105,7
"Velázquez, Jorge",VOL,BEL,4600000,6,5,4,5,5,7,11,5,0,6,5,5,24,4,12,104,7.43
"Mora, Rodrigo",DEL,RIV,3400000,0,0,0,0,5,17,3,5,7,15,5,16,4,20,6,103,9.36
"Marchesín, Agustín",ARQ,LAN,5000000,5,4,9,4,1,8,10,9,5,10,5,9,9,10,4,102,6.8
"Insúa, Federico",VOL,VEL,6000000,8,5,4,13,7,5,7,7,6,5,5,6,6,6,12,102,6.8
"Cabral, Alejandro",VOL,VEL,3800000,6,6,4,6,3,6,6,5,13,5,17,6,8,4,6,101,6.73
"Vergini, Santiago",DEF,NOB,4500000,12,9,8,0,8,5,8,5,8,7,6,6,6,6,7,101,7.21
"Araujo, Carlos",DEF,LAN,3200000,0,5,7,5,6,12,7,8,4,6,20,0,8,6,5,99,7.62
"Goltz, Paolo D.",DEF,LAN,4700000,4,4,9,6,4,17,8,0,5,4,14,4,8,6,6,99,7.07
"Cáceres, Marcos",DEF,NOB,3800000,7,8,22,7,0,0,7,15,7,0,7,4,3,5,6,98,8.17
"Ponzio, Leonardo",VOL,RIV,5500000,5,5,10,9,3,5,0,6,18,14,3,12,1,0,7,98,7.54
"Bogado, Mauro",VOL,SMA,3500000,5,3,4,4,4,11,6,7,7,8,17,6,10,4,0,96,6.86
